,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,1.0899,1.0900,1.0700,1.0800,1.0800,26776,0.0000,1.0000,2020-10-09
1,1.0900,1.0900,1.0700,1.0900,1.0900,5607,0.0000,1.0000,2020-10-08
2,1.1150,1.1150,1.0950,1.1000,1.1000,6447,0.0000,1.0000,2020-10-07
3,1.1300,1.1300,1.1100,1.1100,1.1100,1777,0.0000,1.0000,2020-10-06
4,1.1000,1.1300,1.0900,1.1100,1.1100,11109,0.0000,1.0000,2020-10-05
5,1.1000,1.1400,1.0900,1.1000,1.1000,17237,0.0000,1.0000,2020-10-02
6,1.1100,1.1300,1.1100,1.1300,1.1300,4725,0.0000,1.0000,2020-10-01
7,1.1182,1.1345,1.0900,1.1050,1.1050,18678,0.0000,1.0000,2020-09-30
8,1.1300,1.1700,1.0900,1.1283,1.1283,78815,0.0000,1.0000,2020-09-29
9,1.1500,1.2100,1.0750,1.1501,1.1501,238983,0.0000,1.0000,2020-09-28
10,1.0600,1.1100,1.0600,1.1000,1.1000,33995,0.0000,1.0000,2020-09-25
11,1.0700,1.0900,1.0600,1.0700,1.0700,22408,0.0000,1.0000,2020-09-24
12,1.0850,1.0850,1.0700,1.0752,1.0752,4587,0.0000,1.0000,2020-09-23
13,1.0700,1.1196,1.0610,1.0700,1.0700,8644,0.0000,1.0000,2020-09-22
14,1.0800,1.0800,1.0600,1.0600,1.0600,3862,0.0000,1.0000,2020-09-21
15,1.0750,1.0800,1.0600,1.0600,1.0600,12246,0.0000,1.0000,2020-09-18
16,1.0900,1.0999,1.0700,1.0900,1.0900,6684,0.0000,1.0000,2020-09-17
17,1.1000,1.1204,1.0800,1.1200,1.1200,7630,0.0000,1.0000,2020-09-16
18,1.1100,1.1104,1.0700,1.1000,1.1000,13679,0.0000,1.0000,2020-09-15
19,1.0840,1.0900,1.0600,1.0900,1.0900,11490,0.0000,1.0000,2020-09-14
20,1.0800,1.0900,1.0600,1.0600,1.0600,22739,0.0000,1.0000,2020-09-11
21,1.0800,1.0900,1.0700,1.0700,1.0700,26856,0.0000,1.0000,2020-09-10
22,1.1100,1.1400,1.0700,1.0900,1.0900,9963,0.0000,1.0000,2020-09-09
23,1.0900,1.1400,1.0700,1.1400,1.1400,17481,0.0000,1.0000,2020-09-08
24,1.0900,1.1100,1.0680,1.1000,1.1000,27247,0.0000,1.0000,2020-09-04
25,1.1320,1.1500,1.0600,1.1100,1.1100,32074,0.0000,1.0000,2020-09-03
26,1.1204,1.1800,1.1200,1.1300,1.1300,17240,0.0000,1.0000,2020-09-02
27,1.1600,1.1800,1.1000,1.1700,1.1700,43516,0.0000,1.0000,2020-09-01
28,1.2000,1.2000,1.1100,1.1200,1.1200,22193,0.0000,1.0000,2020-08-31
29,1.1100,1.2738,1.1100,1.2000,1.2000,250412,0.0000,1.0000,2020-08-28
30,1.0750,1.0947,1.0600,1.0600,1.0600,13571,0.0000,1.0000,2020-08-27
31,1.0800,1.1099,1.0750,1.1000,1.1000,19799,0.0000,1.0000,2020-08-26
32,1.0901,1.1300,1.0900,1.0900,1.0900,3853,0.0000,1.0000,2020-08-25
33,1.1000,1.1700,1.0800,1.0800,1.0800,27589,0.0000,1.0000,2020-08-24
34,1.2000,1.2000,1.0901,1.1250,1.1250,22318,0.0000,1.0000,2020-08-21
35,1.0600,1.1355,1.0600,1.1355,1.1355,17291,0.0000,1.0000,2020-08-20
36,1.2000,1.2100,1.1000,1.1000,1.1000,50989,0.0000,1.0000,2020-08-19
37,1.1600,1.2700,1.1193,1.1899,1.1899,176231,0.0000,1.0000,2020-08-18
38,1.0900,1.1600,1.0851,1.1400,1.1400,18451,0.0000,1.0000,2020-08-17
39,1.1900,1.1900,1.0500,1.0999,1.0999,54637,0.0000,1.0000,2020-08-14
40,1.0700,1.2200,1.0700,1.1000,1.1000,33512,0.0000,1.0000,2020-08-13
41,1.2400,1.2400,1.0500,1.1000,1.1000,50561,0.0000,1.0000,2020-08-12
42,1.1600,1.2799,1.1500,1.1500,1.1500,34183,0.0000,1.0000,2020-08-11
43,1.2500,1.2700,1.2100,1.2100,1.2100,18360,0.0000,1.0000,2020-08-10
44,1.2700,1.2800,1.2000,1.2612,1.2612,17855,0.0000,1.0000,2020-08-07
45,1.2600,1.3100,1.2400,1.2652,1.2652,34534,0.0000,1.0000,2020-08-06
46,1.2400,1.3300,1.2301,1.3000,1.3000,36347,0.0000,1.0000,2020-08-05
47,1.3900,1.3900,1.2054,1.2750,1.2750,82279,0.0000,1.0000,2020-08-04
48,1.1200,1.4000,1.0200,1.3650,1.3650,387600,0.0000,1.0000,2020-08-03
49,1.0600,1.0899,1.0100,1.0600,1.0600,26829,0.0000,1.0000,2020-07-31
50,1.0200,1.1100,1.0100,1.0500,1.0500,46252,0.0000,1.0000,2020-07-30
51,1.1400,1.1400,1.0400,1.0650,1.0650,69784,0.0000,1.0000,2020-07-29
52,1.1100,1.1799,1.1004,1.1200,1.1200,8653,0.0000,1.0000,2020-07-28
53,1.1700,1.2559,1.1300,1.1400,1.1400,13834,0.0000,1.0000,2020-07-27
54,1.2380,1.2380,1.0800,1.1639,1.1639,28300,0.0000,1.0000,2020-07-24
55,1.2000,1.3900,1.2000,1.2500,1.2500,19043,0.0000,1.0000,2020-07-23
56,1.2900,1.3500,1.1700,1.2900,1.2900,38139,0.0000,1.0000,2020-07-22
57,1.3400,1.3600,1.3100,1.3100,1.3100,43898,0.0000,1.0000,2020-07-21
58,1.7000,1.7000,1.3100,1.3800,1.3800,111848,0.0000,1.0000,2020-07-20
59,1.7600,1.7600,1.5900,1.7100,1.7100,70200,0.0000,1.0000,2020-07-17
60,1.5200,1.8700,1.5200,1.7000,1.7000,848500,0.0000,1.0000,2020-07-16
61,1.5900,1.5900,1.5200,1.5200,1.5200,25100,0.0000,1.0000,2020-07-15
62,1.5400,1.5900,1.4800,1.5800,1.5800,85500,0.0000,1.0000,2020-07-14
63,1.4800,1.5400,1.3900,1.4600,1.4600,84500,0.0000,1.0000,2020-07-13
64,1.4900,1.6000,1.4300,1.4400,1.4400,179800,0.0000,1.0000,2020-07-10
65,1.5000,1.5000,1.4500,1.4900,1.4900,67200,0.0000,1.0000,2020-07-09
66,1.3700,1.4900,1.3500,1.4800,1.4800,57200,0.0000,1.0000,2020-07-08
67,1.3600,1.4200,1.3500,1.3700,1.3700,48100,0.0000,1.0000,2020-07-07
68,1.3000,1.4000,1.3000,1.3600,1.3600,49200,0.0000,1.0000,2020-07-06
69,1.3000,1.3900,1.3000,1.3100,1.3100,46800,0.0000,1.0000,2020-07-02
70,1.2500,1.4000,1.1800,1.3100,1.3100,95400,0.0000,1.0000,2020-07-01
71,1.1600,1.2700,1.1600,1.2600,1.2600,40200,0.0000,1.0000,2020-06-30
72,1.1500,1.2500,1.1500,1.1700,1.1700,46900,0.0000,1.0000,2020-06-29
73,1.1200,1.1848,1.1200,1.1500,1.1500,43772,0.0000,1.0000,2020-06-26
74,1.2200,1.2462,1.1100,1.2300,1.2300,72894,0.0000,1.0000,2020-06-25
75,1.1400,1.2999,1.1400,1.2500,1.2500,80674,0.0000,1.0000,2020-06-24
76,1.1900,1.2200,1.1400,1.1710,1.1710,57018,0.0000,1.0000,2020-06-23
77,1.0000,1.1699,0.9666,1.1400,1.1400,115494,0.0000,1.0000,2020-06-22
78,0.9619,1.0300,0.9500,0.9500,0.9500,52514,0.0000,1.0000,2020-06-19
79,1.0800,1.1299,0.9300,0.9979,0.9979,113364,0.0000,1.0000,2020-06-18
80,1.2600,1.3000,1.1100,1.1156,1.1156,141006,0.0000,1.0000,2020-06-17
81,1.3300,1.8000,1.1200,1.1200,1.1200,1626679,0.0000,1.0000,2020-06-16
82,1.1400,1.3600,1.1400,1.2900,1.2900,167211,0.0000,1.0000,2020-06-15
83,1.2000,1.2300,1.0100,1.1383,1.1383,64219,0.0000,1.0000,2020-06-12
84,1.3100,1.5000,1.0202,1.1200,1.1200,416120,0.0000,1.0000,2020-06-11
85,0.9300,1.0000,0.9300,0.9999,0.9999,30519,0.0000,1.0000,2020-06-10
86,0.9299,0.9300,0.8300,0.9200,0.9200,17074,0.0000,1.0000,2020-06-09
87,0.9000,0.9255,0.8200,0.8947,0.8947,32632,0.0000,1.0000,2020-06-08
88,0.8735,0.9100,0.8000,0.8599,0.8599,29980,0.0000,1.0000,2020-06-05
89,0.8770,0.9100,0.8401,0.8600,0.8600,7899,0.0000,1.0000,2020-06-04
90,0.8400,0.9555,0.8400,0.9135,0.9135,6622,0.0000,1.0000,2020-06-03
91,0.8740,0.9160,0.8740,0.8845,0.8845,4127,0.0000,1.0000,2020-06-02
92,0.8969,0.9500,0.8720,0.9100,0.9100,6242,0.0000,1.0000,2020-06-01
93,0.9499,0.9500,0.8969,0.9000,0.9000,6228,0.0000,1.0000,2020-05-29
94,0.9200,0.9500,0.9199,0.9354,0.9354,10130,0.0000,1.0000,2020-05-28
95,0.8900,0.9300,0.8850,0.8969,0.8969,10126,0.0000,1.0000,2020-05-27
96,0.8800,0.9000,0.8798,0.8999,0.8999,8038,0.0000,1.0000,2020-05-26
97,0.9000,0.9000,0.8318,0.8339,0.8339,8558,0.0000,1.0000,2020-05-22
98,0.9600,0.9600,0.8800,0.9000,0.9000,37675,0.0000,1.0000,2020-05-21
99,0.7210,0.8439,0.7210,0.7860,0.7860,25971,0.0000,1.0000,2020-05-20
100,0.8000,0.8000,0.7085,0.7637,0.7637,19482,0.0000,1.0000,2020-05-19
101,0.7100,0.7612,0.6900,0.7150,0.7150,23242,0.0000,1.0000,2020-05-18
102,0.8200,0.8500,0.7000,0.7136,0.7136,32723,0.0000,1.0000,2020-05-15
103,0.7600,0.7600,0.7100,0.7204,0.7204,12850,0.0000,1.0000,2020-05-14
104,0.7000,0.7615,0.7000,0.7599,0.7599,25566,0.0000,1.0000,2020-05-13
105,0.7206,0.7900,0.7000,0.7100,0.7100,7913,0.0000,1.0000,2020-05-12
106,0.7933,0.8000,0.7070,0.7560,0.7560,16550,0.0000,1.0000,2020-05-11
107,0.8000,0.8000,0.7400,0.7499,0.7499,12722,0.0000,1.0000,2020-05-08
108,0.8000,0.8000,0.7500,0.8000,0.8000,12030,0.0000,1.0000,2020-05-07
109,0.7000,0.7920,0.7000,0.7500,0.7500,25276,0.0000,1.0000,2020-05-06
110,0.7000,0.7400,0.6500,0.7160,0.7160,9746,0.0000,1.0000,2020-05-05
111,0.7400,0.7400,0.7000,0.7100,0.7100,11266,0.0000,1.0000,2020-05-04
112,0.8000,0.8000,0.6500,0.7400,0.7400,33053,0.0000,1.0000,2020-05-01
113,0.7570,0.7570,0.7200,0.7236,0.7236,10694,0.0000,1.0000,2020-04-30
114,0.7400,0.7420,0.7100,0.7200,0.7200,17195,0.0000,1.0000,2020-04-29
115,0.6943,0.7480,0.6941,0.7479,0.7479,20176,0.0000,1.0000,2020-04-28
116,0.7500,0.7877,0.6120,0.6730,0.6730,62808,0.0000,1.0000,2020-04-27
117,0.8102,0.8102,0.7500,0.7500,0.7500,7119,0.0000,1.0000,2020-04-24
118,0.7768,0.7780,0.7350,0.7400,0.7400,3908,0.0000,1.0000,2020-04-23
119,0.7700,0.7799,0.7500,0.7640,0.7640,16506,0.0000,1.0000,2020-04-22
120,0.7800,0.7801,0.7020,0.7702,0.7702,10304,0.0000,1.0000,2020-04-21
121,0.8300,0.8500,0.8300,0.8300,0.8300,3009,0.0000,1.0000,2020-04-20
122,0.8300,0.8600,0.8200,0.8392,0.8392,7576,0.0000,1.0000,2020-04-17
123,0.8650,0.8650,0.8200,0.8498,0.8498,8238,0.0000,1.0000,2020-04-16
124,0.8200,0.8610,0.8200,0.8610,0.8610,2715,0.0000,1.0000,2020-04-15
125,0.8300,0.8900,0.8220,0.8220,0.8220,9145,0.0000,1.0000,2020-04-14
126,0.8201,0.8552,0.8200,0.8220,0.8220,5737,0.0000,1.0000,2020-04-13
127,0.8760,0.9085,0.8000,0.8500,0.8500,22275,0.0000,1.0000,2020-04-09
128,0.9001,0.9001,0.8200,0.8753,0.8753,14167,0.0000,1.0000,2020-04-08
129,0.9451,0.9500,0.8000,0.9000,0.9000,19112,0.0000,1.0000,2020-04-07
130,0.9500,0.9500,0.9355,0.9451,0.9451,3532,0.0000,1.0000,2020-04-06
131,0.9484,0.9485,0.9484,0.9485,0.9485,696,0.0000,1.0000,2020-04-03
132,0.9485,0.9485,0.9050,0.9245,0.9245,5156,0.0000,1.0000,2020-04-02
133,0.9480,1.0100,0.9400,0.9485,0.9485,1883,0.0000,1.0000,2020-04-01
134,0.9000,0.9500,0.9000,0.9480,0.9480,8266,0.0000,1.0000,2020-03-31
135,0.8800,0.9988,0.8800,0.9525,0.9525,6499,0.0000,1.0000,2020-03-30
136,1.0200,1.0200,0.9501,0.9640,0.9640,4271,0.0000,1.0000,2020-03-27
137,0.9500,1.0000,0.9000,1.0000,1.0000,10984,0.0000,1.0000,2020-03-26
138,0.8100,0.9600,0.8000,0.9100,0.9100,8775,0.0000,1.0000,2020-03-25
139,0.8600,1.0600,0.7500,0.8631,0.8631,6528,0.0000,1.0000,2020-03-24
140,0.9000,0.9045,0.8000,0.8400,0.8400,9018,0.0000,1.0000,2020-03-23
141,0.7500,1.1000,0.7500,0.9000,0.9000,9185,0.0000,1.0000,2020-03-20
142,0.7200,0.7577,0.7000,0.7350,0.7350,7828,0.0000,1.0000,2020-03-19
143,0.8500,0.9300,0.7000,0.7281,0.7281,23639,0.0000,1.0000,2020-03-18
144,0.8900,0.9347,0.8500,0.9100,0.9100,20252,0.0000,1.0000,2020-03-17
145,0.8500,0.9100,0.8500,0.8500,0.8500,16221,0.0000,1.0000,2020-03-16
146,0.9000,0.9704,0.8550,0.8550,0.8550,16377,0.0000,1.0000,2020-03-13
147,0.9600,1.0000,0.8977,0.8977,0.8977,35881,0.0000,1.0000,2020-03-12
148,0.9600,0.9730,0.9600,0.9600,0.9600,35567,0.0000,1.0000,2020-03-11
149,0.9800,1.0151,0.9600,0.9800,0.9800,9133,0.0000,1.0000,2020-03-10
150,1.0001,1.0350,0.9700,0.9700,0.9700,23688,0.0000,1.0000,2020-03-09
151,0.9600,1.0100,0.9600,1.0000,1.0000,8938,0.0000,1.0000,2020-03-06
152,1.0000,1.0000,0.9600,0.9630,0.9630,2613,0.0000,1.0000,2020-03-05
153,0.9700,1.0756,0.9600,1.0000,1.0000,23757,0.0000,1.0000,2020-03-04
154,0.9900,1.0078,0.9700,0.9808,0.9808,40794,0.0000,1.0000,2020-03-03
155,1.0000,1.0000,0.9808,0.9840,0.9840,13454,0.0000,1.0000,2020-03-02
156,1.0200,1.0700,0.9500,1.0299,1.0299,45927,0.0000,1.0000,2020-02-28
157,1.1300,1.1306,1.0500,1.0580,1.0580,35284,0.0000,1.0000,2020-02-27
158,1.1800,1.1800,1.0500,1.1257,1.1257,24556,0.0000,1.0000,2020-02-26
159,1.0500,1.2400,1.0500,1.1400,1.1400,87109,0.0000,1.0000,2020-02-25
160,1.0600,1.1650,1.0201,1.0501,1.0501,36145,0.0000,1.0000,2020-02-24
161,1.2200,1.2200,1.1100,1.1100,1.1100,17509,0.0000,1.0000,2020-02-21
162,1.2200,1.3000,1.1700,1.2376,1.2376,29329,0.0000,1.0000,2020-02-20
163,1.3000,1.3200,1.1000,1.1700,1.1700,29248,0.0000,1.0000,2020-02-19
164,1.1700,1.6200,1.1700,1.2900,1.2900,71700,0.0000,1.0000,2020-02-18
165,1.1000,1.2350,1.0566,1.1500,1.1500,77087,0.0000,1.0000,2020-02-14
166,1.0437,1.1100,1.0437,1.1000,1.1000,7586,0.0000,1.0000,2020-02-13
167,1.0300,1.0502,1.0300,1.0502,1.0502,9540,0.0000,1.0000,2020-02-12
168,1.1100,1.1100,1.0400,1.0800,1.0800,10738,0.0000,1.0000,2020-02-11
169,1.0400,1.1226,1.0400,1.1008,1.1008,19361,0.0000,1.0000,2020-02-10
170,1.1300,1.1434,1.0350,1.0350,1.0350,11886,0.0000,1.0000,2020-02-07
171,1.1600,1.1600,1.1300,1.1400,1.1400,12885,0.0000,1.0000,2020-02-06
172,1.1600,1.1600,1.1500,1.1550,1.1550,7109,0.0000,1.0000,2020-02-05
173,1.1600,1.1699,1.1500,1.1500,1.1500,3660,0.0000,1.0000,2020-02-04
174,1.1600,1.1860,1.1500,1.1600,1.1600,12660,0.0000,1.0000,2020-02-03
175,1.1500,1.2201,1.1500,1.1569,1.1569,11597,0.0000,1.0000,2020-01-31
176,1.1600,1.2400,1.1537,1.1603,1.1603,6980,0.0000,1.0000,2020-01-30
177,1.2100,1.2600,1.1382,1.1600,1.1600,18070,0.0000,1.0000,2020-01-29
178,1.3253,1.3400,1.2137,1.2600,1.2600,33281,0.0000,1.0000,2020-01-28
179,1.3400,1.3733,1.2500,1.3100,1.3100,9179,0.0000,1.0000,2020-01-27
180,1.4699,1.4699,1.3500,1.3600,1.3600,34566,0.0000,1.0000,2020-01-24
181,1.4800,1.4800,1.4100,1.4400,1.4400,3637,0.0000,1.0000,2020-01-23
182,1.4944,1.5500,1.4400,1.5300,1.5300,26244,0.0000,1.0000,2020-01-22
183,1.4100,1.4735,1.4100,1.4100,1.4100,7313,0.0000,1.0000,2020-01-21
184,1.6701,1.6704,1.4000,1.4000,1.4000,51992,0.0000,1.0000,2020-01-17
185,1.6900,1.7200,1.6300,1.6300,1.6300,17118,0.0000,1.0000,2020-01-16
186,1.5445,1.7980,1.5445,1.6130,1.6130,51009,0.0000,1.0000,2020-01-15
187,1.5100,1.5500,1.5000,1.5450,1.5450,5120,0.0000,1.0000,2020-01-14
188,1.5200,1.7000,1.4173,1.5200,1.5200,27865,0.0000,1.0000,2020-01-13
189,1.4500,1.5233,1.4100,1.4754,1.4754,35760,0.0000,1.0000,2020-01-10
190,1.5700,1.6313,1.4300,1.4518,1.4518,27265,0.0000,1.0000,2020-01-09
191,1.4100,1.5800,1.3642,1.5112,1.5112,90875,0.0000,1.0000,2020-01-08
192,1.3899,1.4400,1.3606,1.4335,1.4335,13696,0.0000,1.0000,2020-01-07
193,1.5100,1.5100,1.3600,1.4300,1.4300,18687,0.0000,1.0000,2020-01-06
194,1.3573,1.4892,1.3573,1.4736,1.4736,42002,0.0000,1.0000,2020-01-03
195,1.3505,1.3800,1.3500,1.3500,1.3500,4331,0.0000,1.0000,2020-01-02
196,1.3700,1.4100,1.3609,1.3609,1.3609,10805,0.0000,1.0000,2019-12-31
197,1.4002,1.4050,1.3700,1.3800,1.3800,44503,0.0000,1.0000,2019-12-30
198,1.4500,1.4500,1.4000,1.4000,1.4000,9619,0.0000,1.0000,2019-12-27
199,1.4700,1.4842,1.4500,1.4737,1.4737,6194,0.0000,1.0000,2019-12-26
200,1.4500,1.4500,1.4101,1.4300,1.4300,8706,0.0000,1.0000,2019-12-24
201,1.4405,1.5200,1.4000,1.4948,1.4948,12356,0.0000,1.0000,2019-12-23
202,1.5048,1.5800,1.5000,1.5075,1.5075,8816,0.0000,1.0000,2019-12-20
203,1.5058,1.6800,1.5058,1.5856,1.5856,26131,0.0000,1.0000,2019-12-19
204,1.4700,1.8100,1.4403,1.5900,1.5900,150524,0.0000,1.0000,2019-12-18
205,1.5000,1.5000,1.3500,1.4309,1.4309,4896,0.0000,1.0000,2019-12-17
206,1.4500,1.5200,1.4500,1.5000,1.5000,12259,0.0000,1.0000,2019-12-16
207,1.3800,1.4220,1.3696,1.4182,1.4182,25955,0.0000,1.0000,2019-12-13
208,1.4700,1.4801,1.3500,1.3600,1.3600,18498,0.0000,1.0000,2019-12-12
209,1.5200,1.5200,1.4589,1.4847,1.4847,10201,0.0000,1.0000,2019-12-11
210,1.6100,1.6100,1.5378,1.5535,1.5535,6191,0.0000,1.0000,2019-12-10
211,1.6200,1.6551,1.6164,1.6164,1.6164,5350,0.0000,1.0000,2019-12-09
212,1.7200,1.7200,1.6000,1.6490,1.6490,12090,0.0000,1.0000,2019-12-06
213,1.7300,1.7300,1.6604,1.7027,1.7027,5390,0.0000,1.0000,2019-12-05
214,1.7595,1.7850,1.7415,1.7601,1.7601,2032,0.0000,1.0000,2019-12-04
215,1.8000,1.8000,1.7437,1.7437,1.7437,3247,0.0000,1.0000,2019-12-03
216,1.8000,1.8492,1.8000,1.8164,1.8164,5442,0.0000,1.0000,2019-12-02
217,1.8135,1.8135,1.8047,1.8047,1.8047,963,0.0000,1.0000,2019-11-29
218,1.8000,1.8450,1.8000,1.8001,1.8001,10051,0.0000,1.0000,2019-11-27
219,1.8001,1.8400,1.8000,1.8115,1.8115,10715,0.0000,1.0000,2019-11-26
220,1.8800,1.8800,1.7500,1.7900,1.7900,12951,0.0000,1.0000,2019-11-25
221,1.8500,1.8800,1.6800,1.8800,1.8800,17668,0.0000,1.0000,2019-11-22
222,1.8100,1.8700,1.7510,1.8510,1.8510,59706,0.0000,1.0000,2019-11-21
223,1.7500,1.7715,1.6787,1.7695,1.7695,10792,0.0000,1.0000,2019-11-20
224,1.7000,1.7400,1.7000,1.7400,1.7400,6022,0.0000,1.0000,2019-11-19
225,1.6890,1.7000,1.6500,1.6732,1.6732,8140,0.0000,1.0000,2019-11-18
226,1.7300,1.7300,1.7000,1.7000,1.7000,9998,0.0000,1.0000,2019-11-15
227,1.7100,1.7400,1.7100,1.7316,1.7316,9441,0.0000,1.0000,2019-11-14
228,1.7100,1.7100,1.7100,1.7100,1.7100,353,0.0000,1.0000,2019-11-13
229,1.7100,1.7200,1.7000,1.7000,1.7000,8057,0.0000,1.0000,2019-11-12
230,1.7200,1.7200,1.7200,1.7200,1.7200,761,0.0000,1.0000,2019-11-11
231,1.7492,1.7492,1.7100,1.7300,1.7300,12492,0.0000,1.0000,2019-11-08
232,1.7456,1.7520,1.7200,1.7201,1.7201,10352,0.0000,1.0000,2019-11-07
233,1.7500,1.7500,1.7000,1.7181,1.7181,3088,0.0000,1.0000,2019-11-06
234,1.7400,1.7800,1.7400,1.7400,1.7400,5761,0.0000,1.0000,2019-11-05
235,1.7700,1.8155,1.7338,1.7400,1.7400,5999,0.0000,1.0000,2019-11-04
236,1.8100,1.8900,1.7690,1.7700,1.7700,3789,0.0000,1.0000,2019-11-01
237,1.7500,1.7800,1.7500,1.7800,1.7800,3997,0.0000,1.0000,2019-10-31
238,1.7100,1.7900,1.7100,1.7892,1.7892,16594,0.0000,1.0000,2019-10-30
239,1.7800,1.8000,1.6785,1.7500,1.7500,18711,0.0000,1.0000,2019-10-29
240,1.8800,1.8800,1.7900,1.7900,1.7900,7768,0.0000,1.0000,2019-10-28
241,1.7900,1.8700,1.7899,1.8700,1.8700,18386,0.0000,1.0000,2019-10-25
242,1.8159,1.8709,1.7973,1.8309,1.8309,7422,0.0000,1.0000,2019-10-24
243,1.7600,1.8578,1.7600,1.8299,1.8299,6539,0.0000,1.0000,2019-10-23
244,1.7950,1.8200,1.7800,1.7800,1.7800,24814,0.0000,1.0000,2019-10-22
245,1.7500,1.8869,1.7500,1.8201,1.8201,15735,0.0000,1.0000,2019-10-21
246,1.8500,1.8500,1.7688,1.7701,1.7701,12854,0.0000,1.0000,2019-10-18
247,1.8300,1.8708,1.8300,1.8400,1.8400,5351,0.0000,1.0000,2019-10-17
248,1.9000,1.9000,1.7500,1.8300,1.8300,16524,0.0000,1.0000,2019-10-16
249,1.7090,1.9200,1.7050,1.9000,1.9000,68813,0.0000,1.0000,2019-10-15
250,1.5900,1.7000,1.5900,1.6900,1.6900,20198,0.0000,1.0000,2019-10-14
251,1.6880,1.6880,1.5600,1.5600,1.5600,40132,0.0000,1.0000,2019-10-11
252,1.6400,1.6400,1.5800,1.6100,1.6100,4735,0.0000,1.0000,2019-10-10
253,1.6200,1.6827,1.5000,1.5000,1.5000,15208,0.0000,1.0000,2019-10-09
254,1.7000,1.7150,1.6200,1.6200,1.6200,10367,0.0000,1.0000,2019-10-08
255,1.6300,1.7600,1.6200,1.7600,1.7600,6302,0.0000,1.0000,2019-10-07
256,1.6500,1.6941,1.6000,1.6820,1.6820,4254,0.0000,1.0000,2019-10-04
257,1.6500,1.6629,1.6289,1.6289,1.6289,10073,0.0000,1.0000,2019-10-03
258,1.4900,1.6010,1.4600,1.6010,1.6010,19532,0.0000,1.0000,2019-10-02
259,1.6000,1.6000,1.5000,1.5100,1.5100,12425,0.0000,1.0000,2019-10-01
260,1.6700,1.6900,1.6300,1.6300,1.6300,10051,0.0000,1.0000,2019-09-30
261,1.7100,1.7100,1.6643,1.6643,1.6643,10891,0.0000,1.0000,2019-09-27
262,1.7000,1.7447,1.6800,1.7332,1.7332,8880,0.0000,1.0000,2019-09-26
