,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,10.1800,10.2300,10.1700,10.1900,10.1900,104348,0.0000,1.0000,2020-10-09
1,10.2000,10.3900,10.1400,10.1400,10.1400,54722,0.0000,1.0000,2020-10-08
2,10.2600,10.2700,10.1800,10.2500,10.2500,19305,0.0000,1.0000,2020-10-07
3,10.3200,10.3800,10.2500,10.2500,10.2500,143626,0.0000,1.0000,2020-10-06
4,10.4050,10.4050,10.3200,10.3300,10.3300,106323,0.0000,1.0000,2020-10-05
5,10.2900,10.4800,10.2900,10.3800,10.3800,33944,0.0000,1.0000,2020-10-02
6,10.4300,10.4900,10.3500,10.4000,10.4000,126100,0.0000,1.0000,2020-10-01
7,10.3700,10.4700,10.2300,10.3900,10.3900,19438,0.0000,1.0000,2020-09-30
8,10.4500,10.5000,10.4000,10.4112,10.4112,14190,0.0000,1.0000,2020-09-29
9,10.4700,10.4800,10.3627,10.4800,10.4800,36595,0.0000,1.0000,2020-09-28
10,10.2900,10.4000,10.2900,10.3500,10.3500,3215,0.0000,1.0000,2020-09-25
11,10.3550,10.3700,10.1700,10.2950,10.2950,107921,0.0000,1.0000,2020-09-24
12,10.2700,10.4089,10.2700,10.3650,10.3650,22480,0.0000,1.0000,2020-09-23
13,10.5000,10.5000,10.2600,10.3000,10.3000,115862,0.0000,1.0000,2020-09-22
14,10.4200,10.6000,10.3800,10.3900,10.3900,36090,0.0000,1.0000,2020-09-21
15,10.5000,10.5000,10.4200,10.4284,10.4284,25530,0.0000,1.0000,2020-09-18
16,10.4900,10.4900,10.4200,10.4700,10.4700,28200,0.0000,1.0000,2020-09-17
17,10.4301,10.4900,10.4000,10.4900,10.4900,50389,0.0000,1.0000,2020-09-16
18,10.4467,10.4900,10.4100,10.4300,10.4300,48174,0.0000,1.0000,2020-09-15
19,10.3100,10.5000,10.3100,10.4300,10.4300,315868,0.0000,1.0000,2020-09-14
20,10.4700,10.5000,10.3200,10.4900,10.4900,21399,0.0000,1.0000,2020-09-11
21,10.4036,10.4700,10.2800,10.3500,10.3500,109935,0.0000,1.0000,2020-09-10
22,10.3900,10.4700,10.3300,10.4700,10.4700,250227,0.0000,1.0000,2020-09-09
23,10.0900,10.4100,10.0900,10.3793,10.3793,113775,0.0000,1.0000,2020-09-08
24,10.2000,10.4500,10.1700,10.4400,10.4400,329555,0.0000,1.0000,2020-09-04
25,10.1574,10.2000,10.0600,10.0800,10.0800,200700,0.0000,1.0000,2020-09-03
26,10.1000,10.2000,10.0300,10.2000,10.2000,49325,0.0000,1.0000,2020-09-02
27,10.0100,10.1200,10.0100,10.1000,10.1000,85233,0.0000,1.0000,2020-09-01
28,10.0200,10.0500,10.0100,10.0500,10.0500,68127,0.0000,1.0000,2020-08-31
29,10.0700,10.0700,10.0200,10.0300,10.0300,571912,0.0000,1.0000,2020-08-28
30,10.0400,10.0400,10.0200,10.0300,10.0300,48708,0.0000,1.0000,2020-08-27
31,10.0450,10.0800,10.0200,10.0400,10.0400,152422,0.0000,1.0000,2020-08-26
32,10.0900,10.0900,10.0000,10.0100,10.0100,176322,0.0000,1.0000,2020-08-25
33,10.1000,10.1000,10.0000,10.0400,10.0400,277029,0.0000,1.0000,2020-08-24
34,10.0700,10.0700,9.9695,10.0300,10.0300,442952,0.0000,1.0000,2020-08-21
35,10.0900,10.0965,10.0200,10.0552,10.0552,311836,0.0000,1.0000,2020-08-20
36,10.0700,10.1500,10.0500,10.0800,10.0800,750325,0.0000,1.0000,2020-08-19
37,10.2200,10.2200,10.0700,10.1249,10.1249,488859,0.0000,1.0000,2020-08-18
38,10.2400,10.2400,10.0300,10.1500,10.1500,371152,0.0000,1.0000,2020-08-17
39,10.1250,10.1300,10.0500,10.1000,10.1000,141808,0.0000,1.0000,2020-08-14
40,10.1700,10.1800,10.1100,10.1500,10.1500,37150,0.0000,1.0000,2020-08-13
41,10.1500,10.1700,10.1100,10.1500,10.1500,411883,0.0000,1.0000,2020-08-12
42,10.1000,10.2000,10.0699,10.2000,10.2000,304178,0.0000,1.0000,2020-08-11
43,10.1000,10.1500,10.0600,10.0900,10.0900,461179,0.0000,1.0000,2020-08-10
44,10.1000,10.1700,10.0500,10.1300,10.1300,149662,0.0000,1.0000,2020-08-07
45,10.1000,10.1600,10.0500,10.1000,10.1000,213951,0.0000,1.0000,2020-08-06
