,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,1.4000,1.4500,1.3900,1.4000,1.4000,82559,0.0000,1.0000,2020-10-09
1,1.5000,1.5000,1.3900,1.4000,1.4000,126880,0.0000,1.0000,2020-10-08
2,1.4700,1.4700,1.4199,1.4700,1.4700,108490,0.0000,1.0000,2020-10-07
3,1.5600,1.5900,1.4400,1.4400,1.4400,119242,0.0000,1.0000,2020-10-06
4,1.5000,1.5404,1.4900,1.5400,1.5400,59673,0.0000,1.0000,2020-10-05
5,1.4600,1.6098,1.4600,1.4900,1.4900,171337,0.0000,1.0000,2020-10-02
6,1.5900,1.6700,1.4600,1.4999,1.4999,89722,0.0000,1.0000,2020-10-01
7,1.6100,1.6750,1.5600,1.6100,1.6100,227736,0.0000,1.0000,2020-09-30
8,1.6700,1.6700,1.5000,1.5299,1.5299,122143,0.0000,1.0000,2020-09-29
9,1.4100,1.7000,1.4100,1.5301,1.5301,276239,0.0000,1.0000,2020-09-28
10,1.4400,1.5099,1.4000,1.4599,1.4599,32514,0.0000,1.0000,2020-09-25
11,1.4200,1.4400,1.1100,1.4127,1.4127,140120,0.0000,1.0000,2020-09-24
12,1.6000,1.6003,1.4429,1.4800,1.4800,362003,0.0000,1.0000,2020-09-23
13,1.6002,1.6500,1.5600,1.6000,1.6000,255994,0.0000,1.0000,2020-09-22
14,1.6500,1.6700,1.5500,1.6293,1.6293,249442,0.0000,1.0000,2020-09-21
15,1.7000,1.7000,1.6400,1.6716,1.6716,234184,0.0000,1.0000,2020-09-18
16,1.7000,1.7000,1.5898,1.6600,1.6600,352149,0.0000,1.0000,2020-09-17
17,1.7100,1.7100,1.6300,1.6300,1.6300,692770,0.0000,1.0000,2020-09-16
18,1.6700,1.8000,1.6500,1.6614,1.6614,779021,0.0000,1.0000,2020-09-15
19,1.8000,1.8000,1.5900,1.6000,1.6000,1051781,0.0000,1.0000,2020-09-14
20,1.9900,1.9900,1.5950,1.6146,1.6146,316035,0.0000,1.0000,2020-09-11
21,1.9000,2.3285,1.5600,1.5880,1.5880,361601,0.0000,1.0000,2020-09-10
22,1.9800,1.9800,1.5000,1.6000,1.6000,220561,0.0000,1.0000,2020-09-09
23,1.8100,1.8100,1.5900,1.6500,1.6500,45480,0.0000,1.0000,2020-09-08
24,1.7500,1.7500,1.7500,1.7500,1.7500,43306,0.0000,1.0000,2020-09-04
