,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,13.2500,13.4900,12.9500,13.2000,13.2000,65280957,0.0000,1.0000,2020-10-09
1,13.3300,13.6800,12.7250,13.1550,13.1550,88851674,0.0000,1.0000,2020-10-08
2,12.9800,13.1800,12.8100,13.0700,13.0700,61274196,0.0000,1.0000,2020-10-07
3,13.2800,13.4400,12.4600,12.5300,12.5300,85252374,0.0000,1.0000,2020-10-06
4,13.0900,13.2000,12.7500,13.1200,13.1200,53465541,0.0000,1.0000,2020-10-05
5,12.0500,13.3500,12.0000,13.0000,13.0000,111883279,0.0000,1.0000,2020-10-02
6,12.4500,12.7700,12.3500,12.5800,12.5800,48841980,0.0000,1.0000,2020-10-01
7,12.3200,12.9150,12.2200,12.2900,12.2900,65428134,0.0000,1.0000,2020-09-30
8,12.5900,12.6600,12.1100,12.2500,12.2500,47209575,0.0000,1.0000,2020-09-29
9,12.7400,13.1500,12.4900,12.7600,12.7600,63558206,0.0000,1.0000,2020-09-28
10,11.7600,12.3100,11.7100,12.2900,12.2900,43763989,0.0000,1.0000,2020-09-25
11,11.7400,12.0000,11.2200,11.7700,11.7700,49163168,0.0000,1.0000,2020-09-24
12,12.5300,12.7400,11.9100,11.9300,11.9300,45292584,0.0000,1.0000,2020-09-23
13,12.3000,12.5000,12.1800,12.3400,12.3400,33013426,0.0000,1.0000,2020-09-22
14,12.8200,12.9800,12.0800,12.2100,12.2100,60604453,0.0000,1.0000,2020-09-21
15,13.5100,13.5900,13.0300,13.1900,13.1900,56403555,0.0000,1.0000,2020-09-18
16,13.5000,14.0800,13.3600,13.6300,13.6300,50194418,0.0000,1.0000,2020-09-17
17,13.2100,13.9600,12.9800,13.8000,13.8000,75458868,0.0000,1.0000,2020-09-16
18,13.2686,13.6600,13.0823,13.1400,13.1400,38958829,0.0000,1.0000,2020-09-15
19,13.0200,13.2900,12.9000,13.2600,13.2600,39859100,0.0000,1.0000,2020-09-14
20,13.0800,13.0800,12.6800,12.9500,12.9500,43916721,0.0000,1.0000,2020-09-11
21,13.2100,13.4900,12.9700,13.0050,13.0050,52318554,0.0000,1.0000,2020-09-10
22,13.4800,13.5800,12.8000,13.0500,13.0500,79030174,0.0000,1.0000,2020-09-09
23,13.3600,14.1600,13.1500,13.6300,13.6300,72746017,0.0000,1.0000,2020-09-08
24,13.6500,13.8200,12.9600,13.6100,13.6100,64936962,0.0000,1.0000,2020-09-04
25,13.4000,14.0700,13.0300,13.3600,13.3600,86390768,0.0000,1.0000,2020-09-03
26,12.9400,13.3400,12.6700,13.2300,13.2300,58889577,0.0000,1.0000,2020-09-02
27,12.8600,13.8400,12.6600,13.1000,13.1000,72987504,0.0000,1.0000,2020-09-01
28,13.6000,13.7400,13.0500,13.0500,13.0500,45917160,0.0000,1.0000,2020-08-31
29,13.5900,13.6300,13.2300,13.5900,13.5900,54516383,0.0000,1.0000,2020-08-28
30,13.4300,14.2600,13.1200,13.2800,13.2800,108835702,0.0000,1.0000,2020-08-27
31,13.1100,13.1500,12.7000,12.7850,12.7850,44056800,0.0000,1.0000,2020-08-26
32,13.6900,14.0200,12.7700,13.1400,13.1400,79053355,0.0000,1.0000,2020-08-25
33,12.4400,13.4800,12.2700,13.4400,13.4400,102685730,0.0000,1.0000,2020-08-24
34,12.4385,12.6300,12.0900,12.1600,12.1600,35822854,0.0000,1.0000,2020-08-21
35,12.3800,12.6700,12.2600,12.5000,12.5000,41956633,0.0000,1.0000,2020-08-20
36,12.6500,13.4400,12.5800,12.6800,12.6800,59266528,0.0000,1.0000,2020-08-19
