,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,519.0100,523.3238,504.4600,510.3200,510.3200,3631779,0.0000,1.0000,2020-08-27
1,496.9500,533.6979,492.2300,528.4900,528.4900,7780346,0.0000,1.0000,2020-08-26
2,476.6700,484.6500,474.4250,484.4300,484.4300,3967365,0.0000,1.0000,2020-08-25
3,478.1400,480.0200,469.5200,476.3000,476.3000,1840607,0.0000,1.0000,2020-08-24
4,477.0900,477.2800,470.3400,473.2200,473.2200,2645579,0.0000,1.0000,2020-08-21
5,460.9900,479.8000,458.8868,478.4800,478.4800,2484983,0.0000,1.0000,2020-08-20
6,464.2900,468.1100,457.5871,462.0100,462.0100,2439150,0.0000,1.0000,2020-08-19
7,454.7900,464.5000,452.8400,463.5100,463.5100,2097690,0.0000,1.0000,2020-08-18
8,450.0000,456.1000,449.2000,451.5800,451.5800,1553102,0.0000,1.0000,2020-08-17
9,451.3900,452.8140,444.4262,447.6000,447.6000,1111145,0.0000,1.0000,2020-08-14
10,446.0700,455.9000,446.0700,450.0200,450.0200,2028199,0.0000,1.0000,2020-08-13
11,437.3700,447.9299,437.3700,445.3600,445.3600,2224424,0.0000,1.0000,2020-08-12
12,440.2600,444.4800,431.5900,435.2300,435.2300,1900223,0.0000,1.0000,2020-08-11
13,450.3700,451.1250,436.5000,443.2900,443.2900,1837078,0.0000,1.0000,2020-08-10
14,460.8700,461.7900,445.0900,449.5700,449.5700,3289685,0.0000,1.0000,2020-08-07
15,451.3500,464.3700,449.1300,464.1100,464.1100,2362002,0.0000,1.0000,2020-08-06
16,449.0900,454.0350,446.3450,449.5100,449.5100,2353535,0.0000,1.0000,2020-08-05
17,448.2600,449.0799,440.7000,446.9200,446.9200,2622566,0.0000,1.0000,2020-08-04
18,449.8400,450.7400,442.2800,447.9700,447.9700,2076479,0.0000,1.0000,2020-08-03
19,441.9800,444.4385,434.8000,444.3200,444.3200,2035254,0.0000,1.0000,2020-07-31
20,429.9800,440.5000,426.8100,438.8800,438.8800,1448955,0.0000,1.0000,2020-07-30
21,435.1600,440.4800,435.0400,436.3000,436.3000,1489294,0.0000,1.0000,2020-07-29
22,436.8300,438.2600,431.3300,432.2600,432.2600,1463467,0.0000,1.0000,2020-07-28
23,431.7700,438.3600,431.0100,437.1000,437.1000,1621956,0.0000,1.0000,2020-07-27
24,425.0000,435.0000,423.4406,430.3100,430.3100,1901029,0.0000,1.0000,2020-07-24
25,445.0400,448.8100,430.3001,431.7400,431.7400,2313874,0.0000,1.0000,2020-07-23
26,447.5500,449.3712,441.7600,445.0500,445.0500,1400685,0.0000,1.0000,2020-07-22
27,456.0700,456.9900,441.7500,444.2800,444.2800,2017838,0.0000,1.0000,2020-07-21
28,434.0600,456.8900,433.0000,455.2700,455.2700,3494815,0.0000,1.0000,2020-07-20
29,428.1200,433.5000,423.7000,432.4200,432.4200,2568205,0.0000,1.0000,2020-07-17
30,428.4300,430.5900,418.5100,426.2900,426.2900,2678060,0.0000,1.0000,2020-07-16
31,434.9100,439.6300,428.7300,433.0100,433.0100,2566712,0.0000,1.0000,2020-07-15
32,435.7400,437.2100,416.2900,433.7800,433.7800,5667042,0.0000,1.0000,2020-07-14
33,469.7700,470.6100,440.6400,442.4700,442.4700,3480659,0.0000,1.0000,2020-07-13
34,460.8300,467.2100,455.4800,466.2000,466.2000,3676513,0.0000,1.0000,2020-07-10
35,460.4400,463.8000,451.8800,460.8400,460.8400,2270019,0.0000,1.0000,2020-07-09
36,453.7600,458.2400,452.0000,457.6800,457.6800,1999229,0.0000,1.0000,2020-07-08
37,452.5900,459.4400,448.7200,449.3600,449.3600,2684565,0.0000,1.0000,2020-07-07
38,448.0000,455.5300,444.6900,452.5900,452.5900,2761224,0.0000,1.0000,2020-07-06
39,445.0000,448.1600,441.3600,442.9500,442.9500,2503351,0.0000,1.0000,2020-07-02
40,434.8000,442.0500,433.6200,439.8100,439.8100,2582693,0.0000,1.0000,2020-07-01
41,426.6800,436.9100,423.8600,435.3100,435.3100,2945149,0.0000,1.0000,2020-06-30
42,427.1100,428.4800,416.0320,424.2000,424.2000,2623877,0.0000,1.0000,2020-06-29
43,436.0000,438.1800,424.7129,426.9200,426.9200,3829731,0.0000,1.0000,2020-06-26
44,430.0100,437.9900,427.5801,436.9500,436.9500,2275241,0.0000,1.0000,2020-06-25
45,440.0000,442.6700,427.4700,431.6800,431.6800,3329423,0.0000,1.0000,2020-06-24
46,440.0700,446.1500,436.0100,440.5500,440.5500,3065927,0.0000,1.0000,2020-06-23
47,428.9600,438.9500,428.5400,438.6400,438.6400,3156280,0.0000,1.0000,2020-06-22
48,423.7600,429.2700,419.6500,428.0100,428.0100,3931569,0.0000,1.0000,2020-06-19
49,413.5000,420.8400,413.0000,420.4600,420.4600,2578409,0.0000,1.0000,2020-06-18
50,414.0000,417.4600,411.3600,413.4900,413.4900,2112320,0.0000,1.0000,2020-06-17
51,407.8300,414.6800,405.4750,411.6700,411.6700,3766685,0.0000,1.0000,2020-06-16
52,398.8000,406.1100,397.0000,401.3400,401.3400,3783968,0.0000,1.0000,2020-06-15
53,409.3000,411.7200,395.4100,406.5400,406.5400,8332571,0.0000,1.0000,2020-06-12
54,400.0000,404.2000,387.3700,387.6700,387.6700,4123651,0.0000,1.0000,2020-06-11
