,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,229.2700,229.3100,214.9602,217.3000,217.3000,58400288,0.0000,1.0000,2020-09-03
1,227.9700,232.8600,227.3500,231.6500,231.6500,34080839,0.0000,1.0000,2020-09-02
2,225.5100,227.4500,224.4300,227.2700,227.2700,25791235,0.0000,1.0000,2020-09-01
3,227.0000,228.7000,224.3100,225.5300,225.5300,28774156,0.0000,1.0000,2020-08-31
4,228.1800,230.6440,226.5800,228.9100,228.9100,26292896,0.0000,1.0000,2020-08-28
5,222.8900,231.1500,219.4000,226.5800,226.5800,57602195,0.0000,1.0000,2020-08-27
6,217.8800,222.0900,217.3600,221.1500,221.1500,39600828,0.0000,1.0000,2020-08-26
7,213.1000,216.6100,213.1000,216.4700,216.4700,23043696,0.0000,1.0000,2020-08-25
8,214.7900,215.5200,212.4300,213.6900,213.6900,25460147,0.0000,1.0000,2020-08-24
9,213.8600,216.2500,212.8500,213.0200,213.0200,36249319,0.0000,1.0000,2020-08-21
10,209.5400,215.0000,208.9100,214.5800,214.5800,26981478,0.0000,1.0000,2020-08-20
11,211.4900,212.1000,209.2500,209.7000,209.7000,27627561,0.5100,1.0000,2020-08-19
12,210.5300,212.3600,209.2100,211.4900,210.9769,21336167,0.0000,1.0000,2020-08-18
13,209.6000,211.1874,208.9150,210.2800,209.7698,20063496,0.0000,1.0000,2020-08-17
14,208.7600,209.5900,207.5100,208.9000,208.3932,17958936,0.0000,1.0000,2020-08-14
15,209.4400,211.3500,208.1500,208.7000,208.1937,22588870,0.0000,1.0000,2020-08-13
16,205.2900,210.2800,204.7500,209.1900,208.6825,28041364,0.0000,1.0000,2020-08-12
17,207.1550,207.6500,203.1400,203.3800,202.8866,36446459,0.0000,1.0000,2020-08-11
18,211.6700,211.8800,206.3500,208.2500,207.7448,36716462,0.0000,1.0000,2020-08-10
19,214.8500,215.7000,210.9300,212.4800,211.9645,27820421,0.0000,1.0000,2020-08-07
20,212.3400,216.3705,211.5500,216.3500,215.8251,32656843,0.0000,1.0000,2020-08-06
21,214.9000,215.0000,211.5700,212.9400,212.4234,28858621,0.0000,1.0000,2020-08-05
22,214.1700,214.7700,210.3100,213.2900,212.7725,49280056,0.0000,1.0000,2020-08-04
23,211.5200,217.6400,210.4400,216.5400,216.0146,78983009,0.0000,1.0000,2020-08-03
24,204.4000,205.1000,199.0100,205.0100,204.5126,51247969,0.0000,1.0000,2020-07-31
25,201.0000,204.4600,199.5700,203.9000,203.4053,25079596,0.0000,1.0000,2020-07-30
26,202.5000,204.6500,202.0100,204.0600,203.5649,19632602,0.0000,1.0000,2020-07-29
27,203.6100,204.7000,201.7400,202.0200,201.5299,23251388,0.0000,1.0000,2020-07-28
28,201.4700,203.9700,200.8600,203.8500,203.3554,30160867,0.0000,1.0000,2020-07-27
29,200.4200,202.8600,197.5100,201.3000,200.8116,39826989,0.0000,1.0000,2020-07-24
30,207.1900,210.9200,202.1500,202.5400,202.0486,67457035,0.0000,1.0000,2020-07-23
31,209.2000,212.3000,208.3900,211.7500,211.2363,49605692,0.0000,1.0000,2020-07-22
32,213.6600,213.9400,208.0300,208.7500,208.2435,38105800,0.0000,1.0000,2020-07-21
33,205.0000,212.3000,203.0100,211.6000,211.0866,36884800,0.0000,1.0000,2020-07-20
34,204.4700,205.0400,201.3900,202.8800,202.3878,31635300,0.0000,1.0000,2020-07-17
35,205.4000,205.7000,202.3100,203.9200,203.4253,29940700,0.0000,1.0000,2020-07-16
36,209.5600,211.3300,205.0300,208.0400,207.5353,32179400,0.0000,1.0000,2020-07-15
37,206.1300,208.8500,202.0300,208.3500,207.8445,37591800,0.0000,1.0000,2020-07-14
38,214.4800,215.8000,206.5000,207.0700,206.5676,38135600,0.0000,1.0000,2020-07-13
39,213.6200,214.0800,211.0800,213.6700,213.1516,26177600,0.0000,1.0000,2020-07-10
40,216.3300,216.3800,211.4700,214.3200,213.8000,33121700,0.0000,1.0000,2020-07-09
41,210.0700,213.2600,208.6900,212.8300,212.3136,33600000,0.0000,1.0000,2020-07-08
42,210.4500,214.6700,207.9900,208.2500,207.7448,33600700,0.0000,1.0000,2020-07-07
43,208.8300,211.1300,208.0900,210.7000,210.1888,31897600,0.0000,1.0000,2020-07-06
44,205.6800,208.0200,205.0000,206.2600,205.7596,29299700,0.0000,1.0000,2020-07-02
45,203.1400,206.3500,201.7700,204.7000,204.2034,32061200,0.0000,1.0000,2020-07-01
46,197.8800,204.4000,197.7400,203.5100,203.0163,34310300,0.0000,1.0000,2020-06-30
