,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,545.0000,554.0000,521.3200,525.7500,525.7500,9071089,0.0000,1.0000,2020-09-03
1,553.7800,556.5000,537.3690,552.8400,552.8400,5886930,0.0000,1.0000,2020-09-02
2,532.6000,557.3895,532.4500,556.5500,556.5500,9581907,0.0000,1.0000,2020-09-01
3,521.1600,531.9900,517.5800,529.5600,529.5600,4941409,0.0000,1.0000,2020-08-31
4,532.0000,539.0000,522.0000,523.8900,523.8900,4417517,0.0000,1.0000,2020-08-28
5,537.7750,541.0000,521.2471,526.2700,526.2700,9062912,0.0000,1.0000,2020-08-27
6,492.5000,549.0400,492.0750,547.5300,547.5300,20373681,0.0000,1.0000,2020-08-26
7,488.1900,492.4700,485.0900,490.5800,490.5800,5727721,0.0000,1.0000,2020-08-25
8,495.4383,501.0000,483.1600,488.8100,488.8100,4762183,0.0000,1.0000,2020-08-24
9,496.4600,498.1300,490.0000,492.3100,492.3100,3921293,0.0000,1.0000,2020-08-21
10,484.6900,498.9400,483.8900,497.9000,497.9000,5132480,0.0000,1.0000,2020-08-20
11,493.9300,494.4985,483.5000,484.5300,484.5300,3156218,0.0000,1.0000,2020-08-19
12,484.3500,495.3000,482.8000,491.8700,491.8700,3505518,0.0000,1.0000,2020-08-18
13,484.1900,486.2400,479.1000,482.3500,482.3500,2409957,0.0000,1.0000,2020-08-17
14,482.8200,488.3250,480.2100,482.6800,482.6800,2943487,0.0000,1.0000,2020-08-14
15,478.4000,484.4500,476.4500,481.3300,481.3300,3008933,0.0000,1.0000,2020-08-13
16,471.3400,482.4900,470.1800,475.4700,475.4700,5441243,0.0000,1.0000,2020-08-12
17,479.7500,480.9200,466.5500,466.9300,466.9300,7329226,0.0000,1.0000,2020-08-11
18,493.3500,497.4584,478.6269,483.3800,483.3800,4691185,0.0000,1.0000,2020-08-10
19,505.4500,508.2900,486.6800,494.7300,494.7300,5910348,0.0000,1.0000,2020-08-07
20,504.1100,510.8200,498.7000,509.0800,509.0800,3725861,0.0000,1.0000,2020-08-06
21,508.6800,510.1021,501.2000,502.1100,502.1100,4313526,0.0000,1.0000,2020-08-05
22,498.6500,510.4436,498.6500,509.6400,509.6400,5607968,0.0000,1.0000,2020-08-04
23,490.8600,503.0900,490.2300,498.6200,498.6200,5876190,0.0000,1.0000,2020-08-03
24,488.2900,494.8000,484.5000,488.8800,488.8800,5924310,0.0000,1.0000,2020-07-31
25,480.7072,488.3500,477.5101,485.8000,485.8000,6608569,0.0000,1.0000,2020-07-30
